Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date,Annual_Spend,Signup_Year,Tenure_Group,Spend_Group
C000018,37.0,Female,East,100,Standard,28.12,2,0.0,2024-01-16,337.44,2024,5-10 yr,Q3
C000019,47.0,Male,East,86,Premium,83.45,2,1.0,2022-05-31,1001.4000000000001,2022,5-10 yr,Q4 high
C000020,30.0,Male,North,13,Standard,37.86,1,1.0,2023-09-23,454.32,2023,1-2 yr,Q3
C000021,26.0,Female,Central,41,Basic,13.85,0,1.0,2024-04-23,166.2,2024,2-5 yr,Q1 low
C000022,31.0,Female,South,100,Premium,43.1,1,1.0,2024-04-15,517.2,2024,5-10 yr,Q3
C000023,30.0,Female,South,11,Standard,19.2,2,1.0,2025-05-20,230.39999999999998,2025,6-12 mo,Q2
C000024,39.0,Female,South,22,Premium,91.87,2,0.0,2019-07-27,1102.44,2019,1-2 yr,Q4 high
C000025,47.0,Female,North,43,Basic,16.07,1,1.0,2023-12-21,192.84,2023,2-5 yr,Q2
C000026,50.0,Male,North,106,Premium,69.13,0,0.0,2025-07-25,829.56,2025,5-10 yr,Q4 high
C000027,57.0,Female,Central,33,Premium,70.77,0,0.0,2023-12-17,849.24,2023,2-5 yr,Q4 high
C000028,34.0,Female,North,41,Standard,29.1,1,0.0,2019-03-29,349.20000000000005,2019,2-5 yr,Q3
C000029,38.0,Female,Central,99,Standard,32.52,0,0.0,2023-04-15,390.24,2023,5-10 yr,Q3
C000030,43.0,Male,East,44,Basic,16.84,1,0.0,2019-08-26,202.07999999999998,2019,2-5 yr,Q2
C000031,39.0,Male,West,107,Standard,33.91,0,0.0,2024-11-20,406.91999999999996,2024,5-10 yr,Q3
C000032,31.0,Male,East,66,Basic,14.81,0,0.0,2022-07-26,177.72,2022,5-10 yr,Q1 low
C000033,39.0,Female,North,36,Premium,85.93,0,0.0,2022-04-22,1031.16,2022,2-5 yr,Q4 high
C000034,36.0,Female,South,63,Premium,74.5,0,0.0,2024-03-17,894.0,2024,5-10 yr,Q4 high
C000035,48.0,Male,West,17,Standard,35.97,1,0.0,2021-03-07,431.64,2021,1-2 yr,Q3
C000036,57.0,Male,Central,76,Standard,32.22,1,0.0,2023-11-24,386.64,2023,5-10 yr,Q3
C000037,30.0,Male,East,99,Basic,18.73,2,0.0,2022-04-29,224.76,2022,5-10 yr,Q2
C000038,21.0,Male,West,1,Basic,6.38,3,1.0,2023-03-27,76.56,2023,0-6 mo,Q1 low
C000039,29.0,Female,East,11,Basic,11.69,1,1.0,2023-04-02,140.28,2023,6-12 mo,Q1 low
C000040,36.0,Male,South,47,Standard,37.21,3,0.0,2019-02-26,446.52,2019,2-5 yr,Q3
C000041,38.0,Female,West,39,Basic,9.36,0,0.0,2020-12-18,112.32,2020,2-5 yr,Q1 low
C000042,18.0,Male,Central,38,Standard,36.04,1,0.0,2024-06-23,432.48,2024,2-5 yr,Q3
C000043,35.0,Male,West,43,Standard,24.61,0,0.0,2019-02-28,295.32,2019,2-5 yr,Q2
C000044,40.0,Male,East,15,Basic,10.75,0,1.0,2021-09-14,129.0,2021,1-2 yr,Q1 low
C000045,34.0,Female,West,85,Basic,6.48,2,0.0,2024-11-21,77.76,2024,5-10 yr,Q1 low
C000046,32.0,Male,East,70,Standard,23.67,1,0.0,2022-09-18,284.04,2022,5-10 yr,Q2
C000047,33.0,Female,Central,18,Basic,5.44,0,1.0,2020-05-17,65.28,2020,1-2 yr,Q1 low
C000048,53.0,Female,Central,49,Premium,98.84,1,0.0,2019-01-22,1186.08,2019,2-5 yr,Q4 high
C000049,22.0,Female,Central,42,Basic,13.4,1,0.0,2020-04-10,160.8,2020,2-5 yr,Q1 low
C000050,53.0,Female,South,98,Standard,19.62,0,0.0,2019-11-04,235.44,2019,5-10 yr,Q2
C000051,37.0,Male,North,53,Basic,9.4,0,0.0,2020-09-04,112.80000000000001,2020,2-5 yr,Q1 low
C000052,18.0,Female,East,25,Basic,7.88,0,0.0,2021-03-16,94.56,2021,2-5 yr,Q1 low
C000053,18.0,Female,East,107,Basic,18.32,2,1.0,2020-12-08,219.84,2020,5-10 yr,Q2
C000054,18.0,Male,East,62,Standard,24.64,2,1.0,2022-07-18,295.68,2022,5-10 yr,Q2
C000055,28.0,Female,East,6,Standard,27.96,2,0.0,2023-11-12,335.52,2023,0-6 mo,Q3
C000056,18.0,Female,South,8,Basic,16.28,1,0.0,2025-08-11,195.36,2025,6-12 mo,Q2
C000057,25.0,Female,Central,6,Premium,92.32,2,0.0,2021-04-15,1107.84,2021,0-6 mo,Q4 high
C000058,45.0,Male,North,116,Premium,58.9,3,0.0,2019-09-30,706.8,2019,5-10 yr,Q4 high
C000059,32.0,Male,South,74,Basic,19.14,2,0.0,2022-01-15,229.68,2022,5-10 yr,Q2
C000060,30.0,Male,West,41,Premium,79.77,1,0.0,2023-03-25,957.24,2023,2-5 yr,Q4 high
C000061,35.0,Male,West,112,Standard,16.42,1,0.0,2020-11-07,197.04000000000002,2020,5-10 yr,Q2
C000062,30.0,Male,Central,59,Standard,34.85,2,0.0,2023-09-22,418.20000000000005,2023,2-5 yr,Q3
C000063,55.0,Female,East,8,Basic,13.66,2,0.0,2020-06-09,163.92000000000002,2020,6-12 mo,Q1 low
C000064,21.0,Male,North,54,Premium,39.81,1,0.0,2023-01-08,477.72,2023,2-5 yr,Q3
C000065,42.0,Female,North,40,Standard,28.05,2,1.0,2020-02-23,336.6,2020,2-5 yr,Q3
C000066,34.0,Female,Central,80,Basic,12.75,0,0.0,2024-06-24,153.0,2024,5-10 yr,Q1 low
C000067,40.0,Female,North,30,Premium,44.35,2,0.0,2020-12-25,532.2,2020,2-5 yr,Q3
C000068,27.0,Male,East,104,Standard,30.55,0,0.0,2020-04-29,366.6,2020,5-10 yr,Q3
C000069,19.0,Female,North,67,Premium,79.77,3,1.0,2021-10-10,957.24,2021,5-10 yr,Q4 high
C000070,33.0,Female,East,71,Basic,15.47,1,0.0,2023-11-14,185.64000000000001,2023,5-10 yr,Q1 low
C000071,18.0,Male,Central,39,Basic,7.9,0,0.0,2023-05-26,94.80000000000001,2023,2-5 yr,Q1 low
C000072,40.0,Male,Central,23,Enterprise,109.41,2,0.0,2022-07-25,1312.92,2022,1-2 yr,Q4 high
C000073,36.0,Male,South,82,Standard,24.7,0,0.0,2021-10-15,296.4,2021,5-10 yr,Q2
C000074,40.0,Male,North,75,Standard,29.39,0,0.0,2020-12-04,352.68,2020,5-10 yr,Q3
C000075,44.0,Female,East,86,Standard,33.08,1,0.0,2023-11-01,396.96,2023,5-10 yr,Q3
C000076,25.0,Male,Central,49,Standard,22.2,0,0.0,2021-07-17,266.4,2021,2-5 yr,Q2
C000077,31.0,Male,South,101,Premium,82.67,0,0.0,2019-01-19,992.04,2019,5-10 yr,Q4 high
C000078,25.0,Female,Central,52,Standard,23.4,0,1.0,2021-07-30,280.79999999999995,2021,2-5 yr,Q2
C000079,39.0,Female,South,40,Basic,12.65,1,1.0,2024-10-29,151.8,2024,2-5 yr,Q1 low
C000080,32.0,Male,South,50,Premium,96.0,2,0.0,2020-11-18,1152.0,2020,2-5 yr,Q4 high
C000081,41.0,Female,South,99,Basic,9.6,3,0.0,2019-01-13,115.19999999999999,2019,5-10 yr,Q1 low
C000082,33.0,Male,Central,93,Standard,20.93,0,0.0,2020-05-19,251.16,2020,5-10 yr,Q2
C000083,22.0,Male,East,38,Standard,31.13,0,0.0,2023-09-12,373.56,2023,2-5 yr,Q3
C000084,37.0,Female,East,77,Standard,32.17,1,1.0,2024-09-18,386.04,2024,5-10 yr,Q3
C000085,27.0,Female,West,38,Premium,47.83,1,1.0,2023-08-04,573.96,2023,2-5 yr,Q3
C000086,50.0,Male,North,40,Basic,13.89,1,0.0,2025-05-16,166.68,2025,2-5 yr,Q1 low
C000087,28.0,Female,North,76,Standard,18.25,2,1.0,2021-08-10,219.0,2021,5-10 yr,Q2
C000088,28.0,Male,East,19,Basic,7.29,1,1.0,2021-08-20,87.48,2021,1-2 yr,Q1 low
C000089,59.0,Male,South,5,Basic,19.42,0,1.0,2022-11-02,233.04000000000002,2022,0-6 mo,Q2
C000090,40.0,Female,West,26,Premium,50.61,0,0.0,2024-04-27,607.3199999999999,2024,2-5 yr,Q4 high
C000091,40.0,Male,North,38,Standard,35.41,0,1.0,2023-05-02,424.91999999999996,2023,2-5 yr,Q3
C000092,35.0,Female,West,101,Standard,39.19,3,0.0,2020-12-30,470.28,2020,5-10 yr,Q3
C000093,36.0,Male,West,91,Basic,14.77,1,0.0,2025-05-15,177.24,2025,5-10 yr,Q1 low
C000094,36.0,Male,East,71,Basic,11.36,1,0.0,2023-07-01,136.32,2023,5-10 yr,Q1 low
C000095,50.0,Female,North,45,Basic,9.51,1,0.0,2024-02-20,114.12,2024,2-5 yr,Q1 low
C000096,51.0,Male,Central,19,Enterprise,193.2,2,0.0,2022-07-26,2318.3999999999996,2022,1-2 yr,Q4 high
C000097,46.0,Female,East,36,Premium,58.07,0,0.0,2019-01-05,696.84,2019,2-5 yr,Q4 high
C000098,47.0,Male,East,86,Standard,36.33,2,0.0,2019-01-11,435.96,2019,5-10 yr,Q3
C000099,43.0,Female,Central,52,Standard,18.09,0,0.0,2024-11-07,217.07999999999998,2024,2-5 yr,Q2
C000100,18.0,Female,West,2,Basic,8.49,1,1.0,2024-12-02,101.88,2024,0-6 mo,Q1 low
C000101,30.0,Female,West,50,Basic,15.95,1,1.0,2024-11-09,191.39999999999998,2024,2-5 yr,Q2
C000102,57.0,Male,East,19,Standard,17.79,1,0.0,2024-06-01,213.48,2024,1-2 yr,Q2
C000103,18.0,Female,West,19,Standard,20.29,1,0.0,2020-06-03,243.48,2020,1-2 yr,Q2
C000104,44.0,Non-binary,Central,108,Basic,7.53,0,0.0,2019-07-29,90.36,2019,5-10 yr,Q1 low
C000105,40.0,Female,Central,27,Standard,18.86,1,0.0,2023-11-20,226.32,2023,2-5 yr,Q2
C000106,51.0,Female,West,48,Basic,7.69,2,0.0,2023-08-31,92.28,2023,2-5 yr,Q1 low
C000107,56.0,Female,North,60,Standard,33.83,1,0.0,2022-04-22,405.96,2022,2-5 yr,Q3
C000108,35.0,Male,South,8,Standard,17.51,0,1.0,2019-03-08,210.12,2019,6-12 mo,Q2
C000109,26.0,Female,South,24,Standard,27.78,1,0.0,2025-02-27,333.36,2025,1-2 yr,Q3
C000110,46.0,Male,West,112,Standard,33.74,0,0.0,2022-11-27,404.88,2022,5-10 yr,Q3
C000111,43.0,Male,East,95,Standard,38.31,1,0.0,2023-07-02,459.72,2023,5-10 yr,Q3
C000112,24.0,Male,East,52,Basic,10.6,1,0.0,2022-12-27,127.19999999999999,2022,2-5 yr,Q1 low
C000113,33.0,Female,South,16,Basic,5.62,1,0.0,2020-12-05,67.44,2020,1-2 yr,Q1 low
C000114,32.0,Male,East,42,Standard,17.46,1,0.0,2019-12-15,209.52,2019,2-5 yr,Q2
C000115,35.0,Female,East,27,Basic,17.47,2,0.0,2025-02-12,209.64,2025,2-5 yr,Q2
C000116,44.0,Female,North,23,Premium,94.2,1,0.0,2021-10-02,1130.4,2021,1-2 yr,Q4 high
C000117,41.0,Female,West,96,Premium,93.64,2,0.0,2021-01-06,1123.68,2021,5-10 yr,Q4 high
C000118,47.0,Male,Central,41,Standard,15.53,0,0.0,2024-04-09,186.35999999999999,2024,2-5 yr,Q1 low
C000119,44.0,Female,South,66,Basic,11.37,2,0.0,2021-01-05,136.44,2021,5-10 yr,Q1 low
C000120,58.0,Female,West,111,Basic,18.66,0,,2020-04-27,223.92000000000002,2020,5-10 yr,Q2
C000121,42.0,Male,East,97,Premium,53.35,2,0.0,2024-03-25,640.2,2024,5-10 yr,Q4 high
C000122,19.0,Male,North,30,Premium,95.12,1,0.0,2020-02-15,1141.44,2020,2-5 yr,Q4 high
C000123,25.0,Female,East,52,Basic,7.37,1,0.0,2025-08-14,88.44,2025,2-5 yr,Q1 low
C000124,29.0,Male,West,102,Standard,22.29,2,0.0,2025-07-10,267.48,2025,5-10 yr,Q2
C000125,35.0,Male,North,16,Standard,23.87,0,0.0,2019-07-02,286.44,2019,1-2 yr,Q2
C000126,28.0,Female,South,68,Standard,21.14,2,0.0,2023-09-24,253.68,2023,5-10 yr,Q2
C000127,37.0,Non-binary,North,69,Premium,63.27,1,0.0,2023-08-09,759.24,2023,5-10 yr,Q4 high
C000128,34.0,Female,North,15,Standard,20.65,1,0.0,2020-04-05,247.79999999999998,2020,1-2 yr,Q2
C000129,34.0,Male,West,80,Standard,27.17,1,0.0,2023-12-05,326.04,2023,5-10 yr,Q3
C000130,27.0,Male,Central,2,Basic,12.93,2,1.0,2019-11-03,155.16,2019,0-6 mo,Q1 low
C000131,30.0,Male,North,47,Premium,96.51,1,1.0,2019-01-31,1158.1200000000001,2019,2-5 yr,Q4 high
C000132,35.0,Female,North,79,Premium,89.45,0,0.0,2024-06-19,1073.4,2024,5-10 yr,Q4 high
C000133,35.0,Female,East,101,Premium,97.9,2,1.0,2019-01-18,1174.8000000000002,2019,5-10 yr,Q4 high
C000134,18.0,Female,Central,4,Basic,11.9,0,0.0,2019-05-29,142.8,2019,0-6 mo,Q1 low
C000135,44.0,Male,East,41,Standard,38.6,3,0.0,2021-01-15,463.20000000000005,2021,2-5 yr,Q3
C000136,43.0,Male,West,90,Basic,10.55,0,0.0,2023-03-14,126.60000000000001,2023,5-10 yr,Q1 low
C000137,36.0,Male,East,91,Basic,17.23,1,0.0,2021-11-05,206.76,2021,5-10 yr,Q2
C000138,31.0,Female,Central,41,Premium,81.62,2,0.0,2025-02-28,979.44,2025,2-5 yr,Q4 high
C000139,39.0,Unknown,Unknown,120,Unknown,16.26,1,0.0,2019-03-20,195.12,2019,5-10 yr,Q2
C000140,40.0,Female,North,40,Premium,73.57,2,0.0,2022-01-17,882.8399999999999,2022,2-5 yr,Q4 high
C000141,28.0,Male,West,5,Standard,20.79,2,0.0,2020-08-24,249.48,2020,0-6 mo,Q2
C000142,54.0,Unknown,North,65,Basic,5.98,3,0.0,2020-10-21,71.76,2020,5-10 yr,Q1 low
C000143,49.0,Male,North,81,Premium,70.42,3,0.0,2023-07-26,845.04,2023,5-10 yr,Q4 high
C000144,20.0,Female,North,97,Premium,62.92,3,0.0,2025-06-07,755.04,2025,5-10 yr,Q4 high
C000145,43.0,Female,South,15,Standard,19.39,2,0.0,2020-03-09,232.68,2020,1-2 yr,Q2
C000146,18.0,Male,East,108,Standard,23.9,2,1.0,2024-03-18,286.79999999999995,2024,5-10 yr,Q2
C000147,18.0,Female,East,63,Basic,9.82,1,0.0,2020-03-29,117.84,2020,5-10 yr,Q1 low
C000148,25.0,Male,North,79,Standard,15.88,0,0.0,2024-08-30,190.56,2024,5-10 yr,Q2
C000149,20.0,Male,South,60,Standard,28.04,1,0.0,2020-02-01,336.48,2020,2-5 yr,Q3
C000150,41.0,Male,South,59,Basic,5.77,1,1.0,2022-08-31,69.24,2022,2-5 yr,Q1 low
C000151,38.0,Male,West,97,Basic,13.62,0,1.0,2022-06-13,163.44,2022,5-10 yr,Q1 low
C000152,32.0,Non-binary,South,86,Premium,50.6,0,0.0,2024-04-16,607.2,2024,5-10 yr,Q4 high
C000153,44.0,Female,South,63,Basic,12.46,3,0.0,2024-06-26,149.52,2024,5-10 yr,Q1 low
C000154,28.0,Male,South,97,Basic,18.23,0,1.0,2022-01-04,218.76,2022,5-10 yr,Q2
C000155,46.0,Male,South,117,Standard,34.26,0,0.0,2021-10-18,411.12,2021,5-10 yr,Q3
C000156,49.0,Male,Central,76,Premium,56.18,0,0.0,2025-08-07,674.16,2025,5-10 yr,Q4 high
C000157,58.0,Male,Central,84,Basic,9.75,0,0.0,2021-05-18,117.0,2021,5-10 yr,Q1 low
C000158,35.0,Male,West,58,Standard,29.44,3,0.0,2024-12-01,353.28000000000003,2024,2-5 yr,Q3
C000159,39.0,Male,North,97,Basic,6.89,2,0.0,2024-04-16,82.67999999999999,2024,5-10 yr,Q1 low
C000160,44.0,Male,North,105,Standard,38.41,1,0.0,2024-09-22,460.91999999999996,2024,5-10 yr,Q3
C000161,43.0,Male,West,35,Basic,18.35,1,0.0,2021-08-26,220.20000000000002,2021,2-5 yr,Q2
C000162,33.0,Female,East,86,Standard,26.94,2,0.0,2024-02-22,323.28000000000003,2024,5-10 yr,Q3
C000163,43.0,Female,North,97,Premium,93.55,0,0.0,2023-12-15,1122.6,2023,5-10 yr,Q4 high
C000164,56.0,Female,Central,119,Standard,17.28,2,1.0,2023-04-16,207.36,2023,5-10 yr,Q2
C000165,29.0,Female,Central,73,Premium,50.55,0,0.0,2021-06-06,606.5999999999999,2021,5-10 yr,Q4 high
C000166,36.0,Male,Central,102,Enterprise,216.86,1,0.0,2021-03-04,2602.32,2021,5-10 yr,Q4 high
C000167,18.0,Male,West,89,Premium,63.77,1,0.0,2021-07-08,765.24,2021,5-10 yr,Q4 high
C000168,51.0,Male,East,71,Premium,58.99,0,0.0,2024-06-17,707.88,2024,5-10 yr,Q4 high
C000169,38.0,Female,West,42,Premium,90.35,5,0.0,2019-03-20,1084.1999999999998,2019,2-5 yr,Q4 high
C000170,18.0,Male,North,14,Standard,39.2,1,0.0,2024-09-06,470.40000000000003,2024,1-2 yr,Q3
C000171,43.0,Male,Central,85,Basic,7.66,0,0.0,2023-01-07,91.92,2023,5-10 yr,Q1 low
C000172,59.0,Male,East,103,Standard,20.84,1,0.0,2024-02-13,250.07999999999998,2024,5-10 yr,Q2
C000173,42.0,Female,South,117,Basic,11.11,2,0.0,2019-11-16,133.32,2019,5-10 yr,Q1 low
C000174,37.0,Male,Central,79,Premium,53.03,1,0.0,2020-12-28,636.36,2020,5-10 yr,Q4 high
C000175,39.0,Male,South,20,Standard,18.89,0,0.0,2019-09-13,226.68,2019,1-2 yr,Q2
C000176,35.0,Female,North,23,Basic,14.57,0,0.0,2021-03-10,174.84,2021,1-2 yr,Q1 low
C000177,35.0,Female,East,81,Basic,8.92,0,1.0,2023-12-14,107.03999999999999,2023,5-10 yr,Q1 low
C000178,41.0,Male,East,69,Standard,39.76,0,1.0,2022-12-09,477.12,2022,5-10 yr,Q3
C000179,44.0,Female,West,77,Premium,57.12,2,0.0,2025-07-15,685.4399999999999,2025,5-10 yr,Q4 high
C000180,37.0,Male,West,8,Standard,24.06,0,0.0,2022-12-23,288.71999999999997,2022,6-12 mo,Q2
C000181,34.0,Female,West,62,Premium,87.91,2,0.0,2019-05-19,1054.92,2019,5-10 yr,Q4 high
C000182,42.0,Female,East,52,Standard,39.47,1,0.0,2024-03-28,473.64,2024,2-5 yr,Q3
C000183,40.0,Female,Central,87,Standard,37.6,2,0.0,2021-09-28,451.20000000000005,2021,5-10 yr,Q3
C000184,36.0,Prefer not to say,East,114,Standard,18.6,1,1.0,2023-09-25,223.20000000000002,2023,5-10 yr,Q2
C000185,24.0,Male,Central,119,Standard,37.42,1,,2024-12-08,449.04,2024,5-10 yr,Q3
C000186,39.0,Female,North,69,Basic,17.96,2,0.0,2022-07-27,215.52,2022,5-10 yr,Q2
C000187,49.0,Male,North,14,Enterprise,246.87,2,0.0,2019-10-29,2962.44,2019,1-2 yr,Q4 high
C000188,26.0,Male,West,31,Premium,79.05,1,1.0,2021-05-05,948.5999999999999,2021,2-5 yr,Q4 high
C000189,20.0,Male,East,115,Standard,31.92,1,0.0,2022-04-16,383.04,2022,5-10 yr,Q3
C000190,30.0,Female,North,38,Basic,5.43,0,0.0,2023-12-25,65.16,2023,2-5 yr,Q1 low
C000191,52.0,Female,West,51,Basic,13.35,1,0.0,2023-10-05,160.2,2023,2-5 yr,Q1 low
C000192,30.0,Female,West,63,Basic,14.02,2,0.0,2024-01-26,168.24,2024,5-10 yr,Q1 low
C000193,18.0,Female,East,4,Basic,12.82,2,0.0,2021-10-25,153.84,2021,0-6 mo,Q1 low
C000194,31.0,Female,South,105,Standard,15.96,1,0.0,2020-02-02,191.52,2020,5-10 yr,Q2
C000195,47.0,Female,Central,108,Premium,42.49,0,0.0,2019-04-09,509.88,2019,5-10 yr,Q3
C000196,39.0,Female,South,62,Standard,20.06,3,0.0,2021-04-06,240.71999999999997,2021,5-10 yr,Q2
C000197,43.0,Female,Central,117,Premium,46.33,1,1.0,2020-01-30,555.96,2020,5-10 yr,Q3
C000198,42.0,Male,North,108,Premium,75.08,1,0.0,2020-02-23,900.96,2020,5-10 yr,Q4 high
C000199,47.0,Male,East,68,Standard,37.61,1,1.0,2019-11-12,451.32,2019,5-10 yr,Q3
C000200,41.0,Female,West,61,Enterprise,178.44,1,0.0,2023-05-08,2141.2799999999997,2023,5-10 yr,Q4 high
C000201,21.0,Female,South,111,Standard,37.61,1,0.0,2022-10-12,451.32,2022,5-10 yr,Q3
C000202,26.0,Male,East,18,Premium,96.1,0,0.0,2021-04-20,1153.1999999999998,2021,1-2 yr,Q4 high
C000203,36.0,Female,South,98,Standard,22.68,1,0.0,2019-09-11,272.15999999999997,2019,5-10 yr,Q2
C000204,35.0,Female,West,55,Premium,36.59,0,0.0,2025-05-18,439.08000000000004,2025,2-5 yr,Q3
C000205,21.0,Male,South,97,Standard,38.71,1,0.0,2022-02-20,464.52,2022,5-10 yr,Q3
C000206,32.0,Male,North,59,Basic,8.18,1,0.0,2020-09-27,98.16,2020,2-5 yr,Q1 low
C000207,40.0,Male,North,46,Basic,7.21,1,0.0,2019-04-20,86.52,2019,2-5 yr,Q1 low
C000208,18.0,Male,Central,81,Basic,19.7,0,0.0,2022-11-15,236.39999999999998,2022,5-10 yr,Q2
C000209,31.0,Male,South,16,Standard,30.05,2,0.0,2019-07-02,360.6,2019,1-2 yr,Q3
C000210,25.0,Male,East,41,Premium,50.51,0,0.0,2019-10-24,606.12,2019,2-5 yr,Q4 high
C000211,30.0,Female,East,27,Premium,78.52,3,1.0,2021-04-30,942.24,2021,2-5 yr,Q4 high
C000212,43.0,Female,West,50,Basic,18.4,0,0.0,2022-08-14,220.79999999999998,2022,2-5 yr,Q2
C000213,37.0,Female,North,65,Basic,14.09,0,1.0,2021-08-12,169.07999999999998,2021,5-10 yr,Q1 low
C000214,36.0,Male,Central,66,Basic,14.6,3,0.0,2019-10-12,175.2,2019,5-10 yr,Q1 low
C000215,37.0,Male,North,87,Standard,22.19,3,1.0,2020-04-10,266.28000000000003,2020,5-10 yr,Q2
C000216,48.0,Male,North,20,Premium,99.1,2,0.0,2019-03-20,1189.1999999999998,2019,1-2 yr,Q4 high
C000217,44.0,Male,East,1,Standard,37.8,1,0.0,2022-02-12,453.59999999999997,2022,0-6 mo,Q3
C000218,41.0,Female,East,17,Basic,18.69,1,0.0,2019-05-28,224.28000000000003,2019,1-2 yr,Q2
C000219,36.0,Male,Central,76,Premium,40.57,2,0.0,2022-01-08,486.84000000000003,2022,5-10 yr,Q3
C000220,40.0,Female,North,60,Premium,43.37,0,0.0,2019-01-11,520.4399999999999,2019,2-5 yr,Q3
C000221,34.0,Male,Central,105,Standard,21.77,0,1.0,2023-07-10,261.24,2023,5-10 yr,Q2
C000222,43.0,Male,East,47,Basic,17.89,3,0.0,2021-08-12,214.68,2021,2-5 yr,Q2
C000223,34.0,Female,North,94,Standard,21.55,1,0.0,2021-04-27,258.6,2021,5-10 yr,Q2
C000224,31.0,Female,North,80,Basic,10.19,2,0.0,2020-12-27,122.28,2020,5-10 yr,Q1 low
C000225,47.0,Female,South,92,Standard,32.91,0,1.0,2022-11-09,394.91999999999996,2022,5-10 yr,Q3
C000226,38.0,Female,South,114,Standard,21.94,0,0.0,2023-08-11,263.28000000000003,2023,5-10 yr,Q2
C000227,38.0,Female,South,20,Basic,9.58,2,1.0,2021-11-05,114.96000000000001,2021,1-2 yr,Q1 low
C000228,33.0,Male,East,8,Basic,8.79,1,0.0,2019-04-08,105.47999999999999,2019,6-12 mo,Q1 low
C000229,19.0,Female,East,72,Premium,46.04,0,1.0,2019-10-16,552.48,2019,5-10 yr,Q3
C000230,27.0,Female,West,84,Standard,34.08,1,0.0,2021-03-03,408.96,2021,5-10 yr,Q3
C000231,30.0,Male,North,1,Basic,19.36,0,0.0,2024-09-06,232.32,2024,0-6 mo,Q2
C000232,40.0,Male,West,66,Standard,16.05,1,0.0,2023-05-23,192.60000000000002,2023,5-10 yr,Q2
C000233,46.0,Male,Central,6,Basic,10.75,0,0.0,2023-08-28,129.0,2023,0-6 mo,Q1 low
C000234,28.0,Female,North,108,Basic,16.01,3,0.0,2022-10-25,192.12,2022,5-10 yr,Q2
C000235,37.0,Male,Central,24,Premium,44.01,1,0.0,2021-08-25,528.12,2021,1-2 yr,Q3
C000236,19.0,Male,North,48,Basic,10.38,1,0.0,2023-11-09,124.56,2023,2-5 yr,Q1 low
C000237,23.0,Male,West,54,Premium,36.69,1,0.0,2024-08-24,440.28,2024,2-5 yr,Q3
C000238,45.0,Male,East,27,Standard,21.0,2,0.0,2019-06-05,252.0,2019,2-5 yr,Q2
C000239,30.0,Male,North,25,Premium,46.35,0,0.0,2022-10-18,556.2,2022,2-5 yr,Q3
C000240,31.0,Male,Central,38,Standard,20.71,0,0.0,2025-07-19,248.52,2025,2-5 yr,Q2
C000241,22.0,Female,North,97,Enterprise,225.42,1,0.0,2025-08-04,2705.04,2025,5-10 yr,Q4 high
C000242,53.0,Female,East,15,Standard,29.07,0,0.0,2024-09-28,348.84000000000003,2024,1-2 yr,Q3
C000243,35.0,Female,North,97,Basic,16.49,1,0.0,2021-08-02,197.88,2021,5-10 yr,Q2
C000244,32.0,Male,West,102,Premium,67.09,3,0.0,2019-01-10,805.08,2019,5-10 yr,Q4 high
